date,equity,peak,drawdown
2024-01-01,6043.836406662895,6043.836406662895,0.0
2024-02-01,6345.194888858508,6345.194888858508,0.0
2024-03-01,6486.775680473543,6486.775680473543,0.0
2024-04-01,6202.795961203912,6486.775680473543,-0.043778254907821945
2024-05-01,6531.183294255389,6531.183294255389,0.0
2024-06-01,6803.735438004123,6803.735438004123,0.0
2024-07-01,6818.233603897474,6818.233603897474,0.0
2024-08-01,6963.244721506961,6963.244721506961,0.0
2024-09-01,7452.617709546165,7452.617709546165,0.0
2024-10-01,7358.234488374672,7452.617709546165,-0.01266443883879842
2024-11-01,7745.0627954238635,7745.0627954238635,0.0
2024-12-01,7575.259799091999,7745.0627954238635,-0.02192403093648143
2025-01-01,7744.241489038931,7745.0627954238635,-0.00010604257274937634
2025-02-01,7581.177582100617,7745.0627954238635,-0.021159959273677864
2025-03-01,7114.025942549764,7745.0627954238635,-0.0814760150488314
2025-04-01,7087.525217546006,7745.0627954238635,-0.08489764321424997
2025-05-01,7531.055957291699,7745.0627954238635,-0.027631388380557675
2025-06-01,7944.136307339668,7944.136307339668,0.0
2025-07-01,8142.469155228398,8142.469155228398,0.0
2025-08-01,8257.238949541568,8257.238949541568,0.0
2025-09-01,8605.529579572205,8605.529579572205,0.0
2025-10-01,8884.611300303064,8884.611300303064,0.0
2025-11-01,8815.233584607697,8884.611300303064,-0.007808750810854415
2025-12-01,8782.063432710353,8884.611300303064,-0.011542189537229741
2026-01-01,8890.401516348546,8890.401516348546,0.0
2026-02-01,8809.043763108475,8890.401516348546,-0.009151189976117746
2026-03-01,8341.36794334991,8890.401516348546,-0.06175576794692783
2026-04-01,9378.151574957461,9378.151574957461,0.0
2026-05-01,10090.587124487072,10090.587124487072,0.0
2026-06-01,10058.09663987636,10090.587124487072,-0.0032198804895968713
2026-07-01,9805.556048018934,10090.587124487072,-0.028247224165623197
2026-08-01,10101.530789615328,10101.530789615328,0.0
2026-09-01,10140.766524357276,10140.766524357276,0.0
2026-09-04,10140.766524357276,10140.766524357276,0.0
