signal_index,entry_index,exit_index,entry,stop,target,qty,notional,outcome,net_pnl,r_multiple,equity_before,equity_after
8032,8033,8042,50178.58371,48828.68442428571,52878.382281428574,0.00797192917902612,400.0201156399537,TIME,-4.9835575616810335,-0.46309989173541444,2152.2603009064483,2147.276743344767
8044,8045,8053,50208.819756,49145.97761314285,52334.50404171429,0.010101578855221316,507.18835199282785,TP,20.331291470367226,1.893681523202045,2147.276743344767,2167.6080348151345
8120,8121,8130,47934.154914,46735.43205685714,50331.60062828571,0.009041322695646283,433.388162720573,TIME,-5.987269288909151,-0.5524309923883244,2167.6080348151345,2161.620765526225
8220,8221,8230,49389.876,48061.214571428565,52047.19885714285,0.008134580861018861,401.76594003769475,TIME,14.688909681230715,1.359064449739855,2161.620765526225,2176.3096752074557
8253,8254,8263,55679.943761999995,54243.235190571424,58553.36090485714,0.007573942685688409,421.7167027957418,TIME,12.624036874380232,1.160132403783653,2176.3096752074557,2188.933712081836
8273,8274,8283,56180.08377,54244.15484142857,60051.94162714285,0.005653445433291573,317.6110380314445,TIME,16.531636621126093,1.5104739380529981,2188.933712081836,2205.465348702962
8285,8286,8295,60050.367672,58225.305886285714,63700.49124342857,0.006042166259702259,362.83430543047365,TIME,0.8866188864142618,0.08040197837936415,2205.465348702962,2206.3519675893763
8300,8301,8303,62136.294774,60429.27334542857,65550.33763114286,0.00646257841483521,401.5606773842903,SL,-11.901877110603301,-1.0788738411131291,2206.3519675893763,2194.450090478773
8306,8307,8315,62601.377772,60641.197057714286,66521.73920057144,0.005597570862945725,350.41564819680536,TP,21.147327549698883,1.9273464127940205,2194.450090478773,2215.5974180284716
8324,8325,8327,63250.54758,60993.72579428572,67764.19115142856,0.0049086672063634726,310.4758886904785,SL,-11.747680581172906,-1.060452633279061,2215.5974180284716,2203.8497374472986
8345,8346,8351,63619.581372,62030.31744342857,66798.10922914286,0.006933554892384406,441.1098596732784,SL,-11.97638126197084,-1.0868600575139924,2203.8497374472986,2191.873356185328
8377,8378,8384,61871.561838,59829.305409428576,65956.07469514286,0.005366302990948498,332.0215473459143,SL,-11.676598732514433,-1.0654446525903343,2191.873356185328,2180.1967574528135
8424,8425,8426,62278.023113999996,61129.538471142856,64574.992399714276,0.009491623466679672,591.1195456472614,TP,20.47546479731733,1.878313480407099,2180.1967574528135,2200.6722222501307
8445,8446,8453,65241.455682,63006.90675342857,69710.55353914286,0.004924197886454526,321.26183817852103,SL,-11.696871070214492,-1.0630271016239523,2200.6722222501307,2188.9753511799163
8999,9000,9000,43677.75380399999,42146.84844685713,46739.564518285704,0.007149283726020866,312.26465446008314,SL,-11.618664879649181,-1.0615619653630552,2188.9753511799163,2177.356686300267
9022,9023,9032,44242.44672,43205.82779142857,46315.68457714286,0.010502203974323011,464.64319977655805,TIME,-7.938932206707598,-0.7292266128612411,2177.356686300267,2169.4177540935593
9124,9125,9126,41670.392411999994,40198.36098342856,44614.455269142854,0.007368788845082352,307.0603227757498,SL,-11.509545731403083,-1.0610723277879763,2169.4177540935593,2157.908208362156
9226,9227,9231,41252.518853999994,40536.12206828571,42685.312425428565,0.015060845130751135,621.2977977134852,TP,20.18646060552749,1.8709285712249026,2157.908208362156,2178.0946689676834
9239,9240,9249,42626.703636,41531.35006457143,44817.410778857135,0.009942427385008631,423.81290556321335,TIME,11.761518530321853,1.079982307279258,2178.0946689676834,2189.8561874980055
9296,9297,9306,46609.249986,45416.773557428576,48994.202843142855,0.009181968444111847,427.96466257517255,TIME,-2.81001798970798,-0.25663950041564443,2189.8561874980055,2187.0461695082977
9964,9965,9966,23616.87243,22715.00707285714,25420.603144285713,0.012125125730724046,286.35754758022034,SL,-11.552040090737592,-1.0564056901766072,2187.0461695082977,2175.49412941756
9968,9969,9972,22813.111709999997,21983.65028142857,24472.034567142855,0.013113895682674405,299.1687671621379,SL,-11.522531311808647,-1.059302450509811,2175.49412941756,2163.9715981057516
9977,9978,9980,22851.649416,22166.43227314286,24222.083701714288,0.015790407615042003,360.83685895467653,SL,-11.60064524724017,-1.072162431096127,2163.9715981057516,2152.3709528585114
10065,10066,10072,23812.291505999998,23470.789720285713,24495.295077428567,0.031513319152293884,750.4043419760347,SL,-12.399682162425218,-1.1521882086317419,2152.3709528585114,2139.9712706960863
10082,10083,10090,24329.234873999998,23655.733802571427,25676.237016857143,0.015886918087279097,386.516561569412,SL,-11.537277797967896,-1.078264737097622,2139.9712706960863,2128.4339928981185
10092,10093,10102,24182.405514,23434.306228285714,25678.604085428567,0.014225611717206018,344.0095112301858,TIME,4.672112042628045,0.43901873943165165,2128.4339928981185,2133.1061049407467
10106,10107,10107,24871.093224,24281.981081142858,26049.31750971429,0.01810441467557743,450.27658516224,SL,-11.643252453220093,-1.0916711950007305,2133.1061049407467,2121.4628524875266
10553,10554,10563,20488.056792,19982.232149142856,21499.706077714287,0.020970339053713104,429.6414974799696,TIME,6.653643257673323,0.6272693627297388,2121.4628524875266,2128.1164957451997
10570,10571,10571,20735.676305999998,20391.058805999997,21424.911305999998,0.030876500696354645,640.2451239015934,SL,-12.036227131426749,-1.1311624298285454,2128.1164957451997,2116.080268613773
10575,10576,10584,20602.859748000003,20263.03153371429,21282.51617657143,0.031134558280594395,641.4609375710185,SL,-11.978792748006114,-1.132168086974633,2116.080268613773,2104.101475865767
10597,10598,10607,21152.749704,20683.453275428572,22091.342561142857,0.022417616540049125,474.19423163190964,TIME,0.9350942586361601,0.08888300011779615,2104.101475865767,2105.036570124403
10845,10846,10846,17506.860672,17191.129957714285,18138.32210057143,0.03333594856120792,583.6078068300259,SL,-11.796375189702523,-1.1207762712650053,2105.036570124403,2093.240194934701
11049,11050,11059,20823.103787999997,20318.246645142855,21832.818073714283,0.020731014947004696,431.68407587205803,TP,19.957668623384883,1.9068684684805095,2093.240194934701,2113.197863558086
11074,11075,11084,22909.160916,22370.128416,23987.225916,0.019601766716831406,449.06002795378373,SL,-11.541154493299716,-1.092292841321291,2113.197863558086,2101.656709064786
11088,11089,11089,22754.519994000002,22225.975708285714,23811.608565428574,0.01988155738193784,452.3952949591629,TP,19.99617224360133,1.9028961444896872,2101.656709064786,2121.6528813083874
11100,11101,11110,23257.710612000003,22715.958826285718,24341.214183428576,0.019581411056274065,455.4187917214395,TIME,2.4102320210704464,0.22720323784389249,2121.6528813083874,2124.063113329458
11130,11131,11140,23390.667198000003,22919.733626571433,24332.534340857146,0.02255162131344914,527.4974689182125,TIME,2.0710481156678906,0.19500815231629662,2124.063113329458,2126.1341614451258
11141,11142,11151,23609.340924,23079.340566857143,24669.341638285714,0.020057855931520107,473.5527588917338,TIME,-5.6883772425072925,-0.5350910912076143,2126.1341614451258,2120.4457842026186
11225,11226,11235,24135.3261,23250.676457142854,25904.625385714284,0.01198466421890048,289.2537791221649,TIME,4.717935006844561,0.44499463669321904,2120.4457842026186,2125.163719209463
11241,11242,11251,24508.550730000003,24029.164658571433,25467.322872857145,0.022165472109738946,543.2435976559372,TIME,-2.443454756588171,-0.22995449569382903,2125.163719209463,2122.7202644528747
11416,11417,11424,28045.738026,27063.483383142855,30010.247311714287,0.01080534604691911,303.04390451216807,SL,-11.267503104543781,-1.0616097931724364,2122.7202644528747,2111.452761348331
11427,11428,11437,27637.456385999998,26745.128886,29422.111385999997,0.01183115370392782,326.98299448836747,TIME,-2.881639754685544,-0.2729532772350907,2111.452761348331,2108.5711215936453
11441,11442,11451,27652.969488,26914.314845142857,29130.278773714286,0.014273051296595224,394.69225200540654,TIME,1.353406867219877,0.12837194376417146,2108.5711215936453,2109.924528460865
11477,11478,11487,28500.699,27745.209000000003,30011.679,0.013963947427900218,397.9822624944083,TIME,-2.0514947883937165,-0.19446143790652343,2109.924528460865,2107.873033672471
11504,11505,11507,28550.438946,27864.921803142857,29921.473231714284,0.015374327656396323,438.94380308974246,SL,-11.492308616070137,-1.0904175377249836,2107.873033672471,2096.380725056401
11563,11564,11573,30473.023386,29963.477671714285,31492.11481457143,0.020571076022051594,626.8628806951621,TIME,-4.256359669145648,-0.40606743024038583,2096.380725056401,2092.1243653872552
11587,11588,11590,30386.086001999996,29847.47028771428,31463.317430571427,0.019421308271350062,590.1375434045968,SL,-11.74625574084976,-1.1229022456966138,2092.1243653872552,2080.3781096464054
11632,11633,11634,28958.100462000002,28332.542604857146,30209.216176285718,0.016628183036084165,481.52059485944943,SL,-11.44865936452405,-1.1006325543840623,2080.3781096464054,2068.929450281881
11655,11656,11657,29272.283285999998,28927.74292885714,29961.364000285714,0.03002448635391698,878.885270068499,TP,18.731099670177688,1.8107045329772526,2068.929450281881,2087.660549952059
11684,11685,11693,29204.059644,28595.483929714286,30421.211072571426,0.017152019879747828,500.9086115832293,SL,-11.527677637881927,-1.1043632201745297,2087.660549952059,2076.132872314177
12002,12003,12012,30377.634312000002,29877.762526285715,31377.377883428573,0.020766653886531237,630.8418176489195,SL,-11.755935470933991,-1.1324839202444832,2076.132872314177,2064.376936843243
12015,12016,12023,30346.358058,29827.092343714285,31384.889486571432,0.019877847507060342,603.2202778715758,SL,-11.636464454234007,-1.1273585018856092,2064.376936843243,2052.740472389009
12028,12029,12038,30529.124604,29845.319604,31896.734604,0.015009691888689076,458.2327539374369,TIME,2.4029682584086447,0.23412294839318246,2052.740472389009,2055.1434406474177
12042,12043,12045,31262.081166,30885.658308857142,32014.92688028571,0.02729833485998262,853.402760089424,SL,-12.140703789381371,-1.181494541865824,2055.1434406474177,2043.0027368580363
12050,12051,12052,30874.883741999998,30417.55838485714,31789.53445628571,0.022336425314591256,689.6345347998707,SL,-11.719815760524533,-1.1473127812396968,2043.0027368580363,2031.2829210975117
12089,12090,12099,30602.559287999997,30154.724645142855,31498.228573714285,0.02267893912960949,694.0335793028174,TIME,-6.884758902818275,-0.6778729670112529,2031.2829210975117,2024.3981621946934
12584,12585,12588,28132.165308,27830.582808,28735.330308,0.03356292494084858,944.1977526559484,SL,-12.18689266269104,-1.2040015536744972,2024.3981621946934,2012.2112695320025
12598,12599,12608,27577.944486,27076.24055742857,28581.35234314286,0.020053772304132123,553.04181933824,TIME,-1.5920280463767171,-0.15823666932816544,2012.2112695320025,2010.6192414856257
12609,12610,12611,27644.037701999998,27247.628416285712,28436.85627342857,0.025360395353286318,701.0637252838725,SL,-11.583234485477886,-1.1522056734042947,2010.6192414856257,1999.0360070001477
12688,12689,12692,28456.39014,28025.472282857143,29318.225854285716,0.02319509361081581,660.048633123196,TP,18.514400652845154,1.8523328832509403,1999.0360070001477,2017.5504076529928
12740,12741,12750,34066.801997999995,33440.71592657142,35318.97414085714,0.016112404505737095,548.8980940086286,TIME,6.761308698415165,0.6702492956575558,2017.5504076529928,2024.311716351408
12754,12755,12756,34615.431702,34189.29455914286,35467.70598771429,0.02375188070651276,822.181604390344,SL,-11.918049829108568,-1.1774915624743307,2024.311716351408,2012.3936665222993
12760,12761,12769,34495.157652,33958.89050914286,35567.69193771429,0.018762977494766853,647.2318667029106,TP,18.676011305639033,1.85609919334658,2012.3936665222993,2031.0696778279384
12779,12780,12789,34770.662742,33860.762742,36590.462742,0.011160949982569165,388.07362772424324,TIME,3.513898712624064,0.3460145903395977,2031.0696778279384,2034.5835765405625
12796,12797,12802,35239.49649,34699.54470428571,36319.40006142857,0.018840419000087878,663.926879223726,SL,-11.621218764743437,-1.142368285947063,2034.5835765405625,2022.962357775819
12804,12805,12813,35461.070796,34831.475796,36720.260796,0.01606558468361265,569.7028358447214,TP,18.952119777098464,1.873699696314241,2022.962357775819,2041.9144775529176
12843,12844,12845,36691.196772,36182.70105771429,37708.18820057143,0.0200779910251673,736.6855194908634,SL,-11.81788374858974,-1.157529747548741,2041.9144775529176,2030.0965938043278
12853,12854,12857,37865.77164,36912.86449714285,39771.58592571429,0.010652121820167056,403.3508123239069,SL,-11.025595536505554,-1.086213884615607,2030.0965938043278,2019.0709982678222
12873,12874,12882,36618.812298,36058.23872657143,37739.95944085714,0.018008974211202993,659.467246319565,TP,18.715789120387313,1.853901040274834,2019.0709982678222,2037.7867873882096
12903,12904,12913,37530.494598,36866.448883714285,38858.58602657142,0.015343723658996668,575.8575378971792,TIME,2.567245243743188,0.25196406804006954,2037.7867873882096,2040.3540326319528
12938,12939,12948,38059.450368,37388.32143942857,39401.70822514285,0.01520090958510067,578.5382639025944,TIME,9.399984894515047,0.9214072405257576,2040.3540326319528,2049.754017526468
13059,13060,13069,42932.814846,41977.311631714285,44843.821274571426,0.010726044595562999,460.4992866512452,TIME,8.939374649083275,0.8722387733012791,2049.754017526468,2058.6933921755513
13079,13080,13087,43764.991248,43015.806605142854,45263.36053371428,0.013739559478450977,601.3117003257825,SL,-11.603882337594786,-1.1273055406596735,2058.6933921755513,2047.0895098379565
13159,13160,13169,44153.949024,42820.480095428575,46820.886881142855,0.0076758050599313316,338.9171053343693,TIME,-1.5611148087324211,-0.1525204248500102,2047.0895098379565,2045.5283950292242
13176,13177,13181,46988.755872,45911.613372,49143.040872,0.009495161480626867,446.1658247783939,SL,-11.196846431651888,-1.0947632366151456,2045.5283950292242,2034.3315485975722
13188,13189,13189,46498.487838,44801.48962371428,49892.48426657143,0.005993911871774845,278.70783827176643,SL,-10.772555290658078,-1.059075675062353,2034.3315485975722,2023.558993306914
13192,13193,13199,47069.401997999994,45316.521283714275,50575.163426571424,0.005772095547675355,271.68908570439726,SL,-10.703317286866275,-1.0578705461287135,2023.558993306914,2012.855676020048
13336,13337,13338,43068.702017999996,42587.23308942857,44031.63987514285,0.020903276998501367,900.2770082481687,SL,-12.032632621644103,-1.1955782786608748,2012.855676020048,2000.8230433984038
13349,13350,13358,43253.538978,42541.91004942857,44676.79683514286,0.014058050221587973,608.0604232141369,TP,18.64661324012282,1.8638942910664897,2000.8230433984038,2019.4696566385267
13393,13394,13400,49709.539919999996,48466.520991428566,52195.577777142855,0.00812324579384907,403.8028110693124,TP,19.282181545654684,1.9096282513846239,2019.4696566385267,2038.7518381841815
