period,breakout_lookback,initial_stop_atr,trail_atr,fee_rate,slippage_rate,initial_equity,final_equity,return_pct,trades,win_rate_pct,profit_factor,avg_r,max_drawdown_pct,max_consecutive_losses,total_fees_est
DEV_2X_COST,15,1.5,3.5,0.002,0.0004,2000.0,2491.185094161051,24.559254708052556,102,34.31372549019608,1.747325309079196,0.4458143342390843,5.889635013021839,9,188.2507307855357
DEV_2X_COST,15,2.0,2.5,0.002,0.0004,2000.0,2355.425187898621,17.77125939493105,99,40.4040404040404,1.774238514356611,0.3385104304939452,3.945090960542916,7,132.80356335480445
DEV_2X_COST,15,2.0,3.0,0.002,0.0004,2000.0,2328.86752423961,16.443376211980485,99,36.36363636363637,1.6638102678683622,0.3157761829036169,4.3812020640219265,8,131.6156003480973
DEV_2X_COST,15,2.0,3.5,0.002,0.0004,2000.0,2330.1268955958785,16.506344779793935,98,36.734693877551024,1.6731637819446852,0.32000516510457233,4.445540383651998,8,131.23752193112804
DEV_2X_COST,15,2.5,2.5,0.002,0.0004,2000.0,2283.628424878727,14.181421243936354,98,41.83673469387755,1.7808286144990193,0.27593677844275205,3.4400400364027055,7,103.68230444620444
DEV_2X_COST,15,2.5,3.0,0.002,0.0004,2000.0,2261.925449228645,13.096272461432257,98,37.755102040816325,1.666507538670672,0.2565689146067288,3.7947480235553095,8,102.84549200170628
DEV_2X_COST,15,2.5,3.5,0.002,0.0004,2000.0,2271.9183463217555,13.59591731608778,97,38.144329896907216,1.712555822324651,0.2682095740761217,3.804805795672176,8,102.77643883421571
DEV_2X_COST,20,1.5,2.5,0.002,0.0004,2000.0,2409.9647105525687,20.498235527628438,94,38.297872340425535,1.7238140770882413,0.41049336095686245,4.780979654185148,7,172.32410966329113
DEV_2X_COST,20,1.5,3.0,0.002,0.0004,2000.0,2396.2545720323437,19.81272860161718,94,34.04255319148936,1.6593716902177091,0.3985021817707893,5.053173688013883,8,171.21486201733782
DEV_2X_COST,20,1.5,3.5,0.002,0.0004,2000.0,2482.7202929951522,24.13601464975761,93,34.40860215053764,1.7867320810032563,0.4816624389159307,5.225446594274234,8,175.96200391758745
DEV_2X_COST,20,2.0,2.5,0.002,0.0004,2000.0,2324.4316163821663,16.22158081910832,90,41.11111111111111,1.7465580060328718,0.3429292347016358,3.414806648035894,6,122.5930941288394
DEV_2X_COST,20,2.0,3.0,0.002,0.0004,2000.0,2310.6848278354278,15.534241391771397,90,36.666666666666664,1.6624103319842114,0.329983855759067,3.845057943936007,7,121.87723265150701
DEV_2X_COST,20,2.0,3.5,0.002,0.0004,2000.0,2312.9059783861517,15.645298919307592,89,37.07865168539326,1.6719076375590765,0.33575424698532125,4.07163784398658,7,121.46964163164031
DEV_2X_COST,20,2.5,2.5,0.002,0.0004,2000.0,2263.366920582332,13.168346029116606,89,42.69662921348314,1.7735915912073474,0.2837979006851509,2.9167181746139725,6,95.68950196873395
DEV_2X_COST,20,2.5,3.0,0.002,0.0004,2000.0,2249.0145694992375,12.45072847496187,89,38.20224719101123,1.6715769132029632,0.2696766002199283,3.2713569419613466,7,95.10265970530922
